EmployeeID,FirstName,LastName,PositionID,DepartmentID,HireDate,TerminationDate,EmploymentStatus,Salary,HourlyRate,StandardHours,TrainingTimes,Satisfaction,Email,PhoneNumber,DateOfBirth,Gender,MaritalStatus,Country,City,DistanceFromHome,Education,EducationField,ManagerID,EmploymentType,ContractType
74,Sara,Garcia,14,8,6/14/2019,,Active,836,4.82,173.33,1,90,sara.garcia@steigenberger.com,+20 1099247901,5/2/1997,M,Divorced,Philippines,Alexandria,178,Master,General,12,Full-time,Permanent
75,Ruth,Garcia,19,7,9/18/2017,,Active,2328,13.43,173.33,5,95,ruth.garcia@steigenberger.com,+20 1051508711,12/17/1993,M,Single,Sudan,Damietta,94,Diploma,Hospitality,1,Full-time,Permanent
76,Noura,Sabry,6,2,4/18/2020,1/20/2021,Terminated,864,4.98,173.33,3,82,noura.sabry@steigenberger.com,+20 1037624177,7/22/1977,M,Married,Philippines,Alexandria,436,High School,Hospitality,5,Full-time,Permanent
77,Layla,Williams,16,5,6/20/2017,,Active,509,2.94,173.33,5,76,layla.williams@steigenberger.com,+20 1022555523,5/2/2000,F,Divorced,Philippines,Damietta,166,Master,Business,15,Full-time,Permanent
78,Maya,Sabry,17,6,8/24/2015,,Active,2849,16.44,173.33,3,66,maya.sabry@steigenberger.com,+20 1014152279,10/22/1995,F,Widowed,Saudi Arabia,Ismailia,407,Master,Tourism,1,Part-time,Permanent
79,Anna,Martin,15,5,10/6/2016,,Active,2030,11.71,173.33,3,83,anna.martin@steigenberger.com,+20 1083164810,2/25/1990,F,Divorced,Egypt,Tanta,169,High School,Tourism,1,Full-time,Fixed-term
80,Mazen,Al-Hashemi,11,3,9/25/2015,7/24/2017,Quit,628,3.62,173.33,7,82,mazen.al-hashemi@steigenberger.com,+20 1047537973,9/20/1975,F,Married,Syria,Zagazig,109,Master,General,9,Full-time,Permanent
81,Ali,Ahmed,6,2,8/20/2019,,Active,766,4.42,173.33,6,44,ali.ahmed@steigenberger.com,+20 1073486895,10/24/1988,F,Widowed,Syria,Tanta,345,Bachelor,Hospitality,5,Full-time,Casual
82,Nesma,Taylor,18,6,2/10/2020,,Active,728,4.2,173.33,2,71,nesma.taylor@steigenberger.com,+20 1040330059,11/24/1976,M,Widowed,Philippines,Cairo,42,Bachelor,Engineering,17,Full-time,Permanent
83,Patricia,Badawy,18,6,7/27/2016,,Active,1068,6.16,173.33,8,44,patricia.badawy@steigenberger.com,+20 1061183781,8/10/1995,M,Married,Philippines,Mansoura,244,Diploma,Tourism,17,Contract,Permanent
84,Carol,Al-Zahra,13,8,2/19/2018,,Active,1552,8.95,86.67,2,59,carol.al-zahra@steigenberger.com,+20 1048613827,4/18/1985,M,Married,Saudi Arabia,Mansoura,32,Bachelor,Management,12,Full-time,Permanent
85,James,Salam,5,2,4/24/2015,,Active,2846,16.42,173.33,1,57,james.salam@steigenberger.com,+20 1025859305,4/11/1977,M,Divorced,Philippines,Cairo,60,Bachelor,Management,1,Full-time,Fixed-term
86,Michael,Bin-Ahmed,12,8,4/20/2015,,Active,3076,17.75,86.67,1,67,michael.bin-ahmed@steigenberger.com,+20 1092226629,12/25/1994,F,Married,Philippines,Tanta,195,Diploma,Engineering,1,Full-time,Permanent
87,Michelle,El-Sayed,13,8,7/28/2015,,Active,2398,13.83,173.33,5,65,michelle.el-sayed@steigenberger.com,+20 1071777869,3/8/2002,M,Widowed,Egypt,Alexandria,278,Bachelor,Business,12,Full-time,Permanent
88,Jennifer,Garcia,17,6,8/26/2017,,Active,2856,16.48,173.33,5,79,jennifer.garcia@steigenberger.com,+20 1045311034,11/19/1977,M,Married,Egypt,Zagazig,394,Bachelor,Business,1,Full-time,Permanent
89,Salam,Abu-Nasser,17,6,11/11/2020,9/2/2022,Terminated,2935,16.93,173.33,4,60,salam.abu-nasser@steigenberger.com,+20 1011675713,7/9/1970,F,Divorced,Syria,Shubra El Kheima,27,Master,Engineering,1,Full-time,Permanent
90,Hisham,Salam,13,8,11/8/2016,,Active,1733,10,173.33,8,78,hisham.salam@steigenberger.com,+20 1067135230,10/21/1970,M,Married,Saudi Arabia,Giza,237,Master,Hospitality,12,Full-time,Permanent
91,Rana,Sabry,16,5,4/14/2020,4/9/2021,Quit,553,3.19,173.33,6,73,rana.sabry@steigenberger.com,+20 1085292245,1/25/1974,F,Divorced,Saudi Arabia,Damietta,380,High School,Engineering,15,Full-time,Permanent
92,Walid,Walker,8,4,6/2/2019,,Active,1075,6.2,173.33,1,91,walid.walker@steigenberger.com,+20 1031655187,6/27/1978,M,Widowed,Syria,Tanta,71,High School,General,7,Full-time,Permanent
93,Rania,Soliman,20,7,12/19/2015,,Active,1544,8.91,173.33,8,88,rania.soliman@steigenberger.com,+20 1090388200,4/22/1970,F,Married,Egypt,Tanta,232,Master,Business,1,Part-time,Permanent
94,James,Moore,10,3,12/15/2015,,Active,604,3.48,173.33,2,41,james.moore@steigenberger.com,+20 1098817735,9/11/1989,F,Married,Syria,Mansoura,28,Bachelor,Business,9,Full-time,Fixed-term
95,Ali,Al-Zahra,7,4,6/8/2019,,Active,3413,19.69,173.33,5,43,ali.al-zahra@steigenberger.com,+20 1097250260,4/16/1972,M,Divorced,Egypt,Alexandria,140,Bachelor,Business,1,Contract,Permanent
96,Hoda,Bin-Omar,15,5,1/9/2015,,Active,2524,14.56,173.33,1,66,hoda.bin-omar@steigenberger.com,+20 1023048039,4/8/1981,M,Single,Saudi Arabia,Alexandria,410,Diploma,Engineering,1,Part-time,Permanent
97,Hisham,Garcia,13,8,3/19/2016,11/27/2021,Terminated,2297,13.25,173.33,8,87,hisham.garcia@steigenberger.com,+20 1070988120,7/17/1983,M,Single,Philippines,Alexandria,373,Bachelor,Engineering,12,Full-time,Casual
98,Youssef,Bin-Ahmed,6,2,1/18/2018,2/8/2021,Terminated,858,4.95,173.33,8,48,youssef.bin-ahmed@steigenberger.com,+20 1012778548,4/5/1996,M,Divorced,Syria,Giza,266,Master,Engineering,5,Full-time,Permanent
99,Sara,Tawfik,5,2,8/21/2015,2/14/2020,Terminated,2722,15.7,173.33,4,90,sara.tawfik@steigenberger.com,+20 1037412705,12/23/1996,M,Single,Egypt,Cairo,194,Master,Management,1,Full-time,Permanent
100,Hala,El-Sayed,9,3,3/15/2019,,Active,3759,21.69,173.33,6,87,hala.el-sayed@steigenberger.com,+20 1061671349,2/17/1970,M,Widowed,Sudan,Tanta,80,Diploma,Tourism,1,Contract,Casual
101,Nasser,Shaker,13,8,9/16/2020,,Active,1534,8.85,86.67,1,93,nasser.shaker@steigenberger.com,+20 1051893951,12/13/1976,F,Single,Saudi Arabia,Alexandria,270,High School,Business,12,Full-time,Permanent
102,Ghada,Shaker,17,6,11/15/2015,4/3/2019,Quit,2344,13.52,173.33,3,88,ghada.shaker@steigenberger.com,+20 1073093554,6/3/1987,F,Divorced,Philippines,Cairo,315,Master,Engineering,1,Full-time,Permanent
103,Mary,Hernandez,16,5,8/13/2018,8/11/2021,Terminated,706,4.07,173.33,4,93,mary.hernandez@steigenberger.com,+20 1078866807,1/2/1982,M,Divorced,Syria,Damietta,474,Diploma,General,15,Full-time,Fixed-term
104,Hala,Hall,10,3,10/6/2016,,Active,729,4.21,173.33,1,42,hala.hall@steigenberger.com,+20 1080367086,5/18/1979,F,Divorced,Egypt,Damietta,369,Bachelor,Engineering,9,Full-time,Permanent
105,Kenneth,Rizk,11,3,11/17/2019,11/12/2020,Terminated,700,4.04,173.33,1,72,kenneth.rizk@steigenberger.com,+20 1082846512,1/9/1993,M,Widowed,Syria,Cairo,481,Diploma,Tourism,9,Full-time,Fixed-term
106,Fouad,Moore,17,6,8/19/2017,,Active,2203,12.71,173.33,3,82,fouad.moore@steigenberger.com,+20 1099211339,1/8/1976,F,Single,Sudan,Giza,119,Bachelor,General,1,Full-time,Permanent
107,Magdy,Hernandez,8,4,3/5/2019,,Active,995,5.74,86.67,4,91,magdy.hernandez@steigenberger.com,+20 1036279551,12/9/1975,M,Single,Syria,Tanta,347,Bachelor,Business,7,Contract,Permanent
108,Linda,Anderson,20,7,6/28/2020,,Active,1714,9.89,173.33,1,69,linda.anderson@steigenberger.com,+20 1010693390,11/18/1989,M,Single,Saudi Arabia,Ismailia,133,Diploma,Management,1,Part-time,Permanent
109,Samir,Taylor,8,4,1/1/2019,2/9/2021,Quit,937,5.41,86.67,8,41,samir.taylor@steigenberger.com,+20 1068178330,8/27/2000,F,Widowed,Egypt,Giza,342,Bachelor,Management,7,Full-time,Permanent
110,Rana,Helmy,13,8,5/26/2017,,Active,2321,13.39,173.33,3,42,rana.helmy@steigenberger.com,+20 1078364968,1/14/1974,M,Single,Saudi Arabia,Cairo,209,High School,General,12,Contract,Permanent
111,Steven,Farouk,6,2,1/8/2018,,Active,805,4.64,173.33,6,69,steven.farouk@steigenberger.com,+20 1072964238,9/13/1984,F,Widowed,Philippines,Shubra El Kheima,342,Diploma,Hospitality,5,Full-time,Permanent
112,Hassan,Wilson,11,3,10/27/2019,,Active,623,3.59,173.33,2,80,hassan.wilson@steigenberger.com,+20 1070942601,11/4/1984,F,Divorced,Syria,Port Said,253,Master,Hospitality,9,Full-time,Fixed-term
113,Mona,Young,10,3,1/8/2016,11/7/2022,Terminated,708,4.08,173.33,7,78,mona.young@steigenberger.com,+20 1085868125,11/3/1999,M,Widowed,Saudi Arabia,Tanta,257,High School,Tourism,9,Full-time,Fixed-term
114,Aisha,Taylor,3,1,5/15/2018,,Active,937,5.41,173.33,8,42,aisha.taylor@steigenberger.com,+20 1072429291,4/18/1972,M,Married,Sudan,Alexandria,368,Master,General,2,Full-time,Permanent
115,Ahmed,Martin,4,1,7/10/2017,,Active,1453,8.38,173.33,2,51,ahmed.martin@steigenberger.com,+20 1051264776,11/5/1987,M,Single,Sudan,Tanta,180,Bachelor,Business,2,Seasonal,Permanent
116,Daniel,Harris,9,3,5/5/2017,,Active,2882,16.63,173.33,3,51,daniel.harris@steigenberger.com,+20 1021889191,2/22/1994,F,Married,Philippines,Cairo,301,Diploma,Tourism,1,Full-time,Permanent
117,Kenneth,Said,11,3,12/19/2017,4/16/2022,Terminated,758,4.37,86.67,8,53,kenneth.said@steigenberger.com,+20 1084630314,6/5/1998,F,Widowed,Sudan,Ismailia,93,Master,General,9,Full-time,Permanent
118,Hala,Taylor,4,1,7/21/2017,11/19/2019,Terminated,1301,7.51,173.33,2,49,hala.taylor@steigenberger.com,+20 1054835863,3/23/1984,M,Single,Philippines,Zagazig,337,Bachelor,General,2,Full-time,Internship
119,Anthony,El-Naggar,15,5,2/13/2018,,Active,2065,11.91,173.33,5,78,anthony.el-naggar@steigenberger.com,+20 1089932209,5/9/1999,F,Married,Philippines,Ismailia,6,High School,Engineering,1,Part-time,Permanent
120,Magdy,White,8,4,5/19/2016,,Active,978,5.64,173.33,8,42,magdy.white@steigenberger.com,+20 1012101633,12/27/1987,F,Widowed,Egypt,Mansoura,234,Master,Business,7,Part-time,Permanent
